MENU_NAME|BIL_ID|REM|MF_TABLE|TF_TABLE|MOD_NAME|BIL_TYPE
MrpFP|MQ|检验数据记录单|MF_MQC|TF_MQC|MRP|
MrpFRR|KT|客户投诉输入作业|KHTS_QA||MRP|KT
MrpFU|QN|退料检验单|MF_QC|TF_QC|MNU|MO
MrpFV|QR|领料检验单|MF_QC|TF_QC|MNU|MO
MrpHSA|MF|期初制令单|MF_MO|TF_MO|MRP|MO
MrpHSB|TV|期初生产通知单|MF_TZ|TF_TZ|MRP|MO
MrpHSC|TF|期初托工单|MF_TW|TF_TW|MRP|
MrpKB|KI|货品单包资料设定|BZZL|BZPZ||
MrpKBD|KJ|货品多包资料设定|BZZL|BZPD||
MrpKC|BZ|装箱单|MF_BZ|TF_BZ|OTH|
MrpMLPS|ME|模拟评审分析|MF_MLPS||MRP|
MrpZY|ZH|制程不合格转移单|MF_ZY|TF_ZY|MRP|MO
OTH00309|ZL|指令书作业|ZL_NO||OTH|MO
OTH00311|PP|指令书排程作业|MF_PP|TF_PP|OTH|NULL
OTH00393|YE|气立特采单|YA_YP||OTH|
OTH00407|RO|气立维修/退休单|MF_RO|TF_RO|OTH|
OTH00415|RB|气立维修结案单|MF_RO|TF_RO1|OTH|
OTHBPG|YA|气立异常处理单|YA_EXCEP||OTH|
OTHBPI|YD|气立客户诉愿单|YD_COMP|T|OTH|
OTHJHPC|AJ|计划排程单|MF_AJ|TF_AJ|OTH|
OthAA|NQ|估价单(印刷业)|MF_NCQ_MC|TF_NCQA_MC|OTH|SA
OthAB|QD|报价单(印刷业)|MF_NCQ_QT|TF_NCQ_QT1|INV|SA
OthAC|QE|受订单(印刷业)|MF_NCQ_SO|TF_NCQ_SO|INV|SA
OthAHCA|IU|询价上单|MF_IO|TF_IO|OTH|PC
OthAMB|QQ|制令生产日报表|MF_SC_ZG|TF_SC_ZG|OTH|
OthDFNA|Y3|科目预算调整单|MF_ABGT|TF_ABGT|OTH|
OthDGWD_APS|AS|排产作业(沃德专案)|MF_APS_WD|TF_APS_WD1|OTH|
OthGGEC6|RF|XRF检验单|XRF_GGEC||OTH|
OthGSPGA|GS|高树派工单|MF_PG_GS|TF_PG_GS|MRP|
OthGSPGB|GR|高树异常派工单|MF_PG_GS|TF_PG_GS|MRP|
OthGSZZDA|GT|高树制作单|MF_POS_GS|TF_POS_GS|OTH|
OthHZYQBA|J3|生产绩效任务单——下达|MF_SCJX_HZYQ|TF_SCJX_HZYQ||
OthHZYQBB|J4|生产绩效任务单——回报|MF_SCJX_HZYQ|TF_SCJX_HZYQ||
OthHZYQBC|B4|制作说明书|MF_BOOK_HZYQ|TF_BOOK_HZYQ|OTH|
OthHZYQD|39|中类代号/工厂型体|INDX|||
OthMCAD|QI|中文订单(印刷业)|MF_ZD_MC|TF_ZDLJ_MC|OTH|SA
OthMCAE|GD|明彩印刷生产工程单|MF_GD_MC|TF_GD1_MC|OTH|MO
OthMFDC|ZM|制程首件检验单|MF_QCFZC|TF_QCFZC|OTH|
OthMFDD|ZN|制程巡检检验单|MF_QC_XJZC|TF_QC_XJZC|OTH|
OthMFDE|ZK|制程末件检验单|MF_QCFZC|TF_QCFZC|OTH|
OthMFDJ|XO|模具变更作业|MF_BG_MOD|||
OthMFEB|ZU|开发试料单|MF_TRIAL|TF_TRIAL|OTH|
OthMFEC|ZV|开发试料确认单|MF_TRIAL|TF_TRIAL|OTH|
OthMFED|ZS|开发试料领料单|MF_TRIAL|TF_TRIAL||
OthNJFSA|Y1|工程预算清单|MF_GCYS|TF_GCYS|OTH|
OthNJFSB|Y2|工程预算调整单|MF_YSTZ|TF_YSTZ|OTH|
OthSHFJE|Y4|报价单(上海通用风机)|MF_FJBJ|TF_FJBJ|OTH|
OthSh00003|HA|订单评审|MF_PINGSO|MF_PINGSO|OTH|SA
OthZSLG_PD|FN|分切排刀作业|MF_PD_LG|TF_PD_LG1|OTH|MO
POS|ZO|POS BOM表|MF_PBOM|TF_PBOM|POS|
POSZT|ZT|POS订台|MF_POSZT|TF_POSZT|POS|
POS_CUST|ZJ|POS会员客户|CUST|POSCARD|SYS|SA
PRECUST|UC|售前客户|PRE_CUST|||
PRJBA|BA|项目变更单|M_BA|TF_BA||
PosAFB|TU|礼券发售单|POSTK0|POSTK1|POS|
PosBC|DF|Pos订货单|POSPOS0|POSPOS1|POS|
PosIJ|DD|POS调整单|POSMF_IJ|POSTF_IJ|POS|
SEBAN1|38|设备基础资料|SEBEI||SEB|
SYSCASN|19|工程项目单|CASN|||
SYSPRST|C5|促销单|PROMO|PROMO1|INV|SA
SYSPRST|C6|促销设定|PROMO|PROMO1|INV|SA
SYSSZ|XZ|信用调整|CUST_XYTZ||SYS|
SebAA|SG|设备购入单|MF_GR_S|TF_GR_S|SEB|MO
SebACA|S4|设备维修计划[内修]|MF_WJ_S|TF_WJ_S|SEB|MO
SebACB|SZ|设备维修计划单[委外]|MF_WJ_S|TF_WJ_S|SEB|MO
SebADA|SN|设备维修单[内修]|MF_WX_S|TF_WX_S|SEB|MO
SebADB|SI|设备维修单[委外]|MF_WX_S|TF_WX_S|SEB|MO
SebAEA|S0|设备完修单[内修]|MF_RX_S|TF_RX_S|SEB|MO
SebAEB|SY|设备完修单[委外]|MF_RX_S|TF_RX_S|SEB|MO
SebAF|SX|设备停用单|MF_ST_S|TF_ST_S|SEB|MO
SebAG|RS|自制设备入库单|MF_RK_S|TF_RK_S|SEB|MO
SebAH|SK|设备启用单|MF_QY_S|TF_QY_S|SEB|MO
SebAI|DB|设备调拨单|MF_DB_S|TF_DB_S|SEB|MO
SebAO|S8|设备请购单|MF_SQ_FX|TF_SQ_FX|SEB|MO
SebAP|P8|设备采购单|MF_POS_FX|TF_POS_FX|SEB|MO
SebBBD|UG|设备保养记录单|MF_BYJL|TF_BYJL|SEB|MO
SebBBE|UH|设备异常报告单|MF_SBYCBG|TF_SBYCBG|SEB|MO
SebBG|AZ|设备盘点单|MF_SBPT|TF_SBPT|SEB|NULL
SebBN|AB|设备出入库单|MF_SBAA|TF_SBAA|SEB|MO
SebCA|XM|设备维修领料单|MF_IJ|TF_IJ|SEB|MO
SebCB|XN|设备维修退料单|MF_IJ|TF_IJ|SEB|MO
SgtAB|SM|合同耗料表|MF_BOM_SGT|TF_BOM_SGT|SGT|NULL
SgtAC|EM|材料BOM表|MF_EBOM_SGT|TF_EBOM_SGT|SGT|MO
SgtAGA1|Z1|受订转采购|MF_ZD|TF_ZD|SGT|
SgtAGA2|Z5|受订转采购再转受订|MF_ZD|TF_ZD|SGT|
SgtAGB1|Z2|采购转受订|MF_ZD|TF_ZD|SGT|
SgtAGB2|Z6|采购转受订再转采购|MF_ZD|TF_ZD|SGT|
SgtAGC1|Z3|销货转进货|MF_ZD|TF_ZD|SGT|
SgtAGC2|Z7|销货转进货再转销货|MF_ZD|TF_ZD|SGT|
SgtAGD1|Z4|进货转销货|MF_ZD|TF_ZD|SGT|
SgtAGD2|Z8|进货转销货再转进货|MF_ZD|TF_ZD|SGT|
SgtAGE1|U1|托工转受订|MF_ZD|TF_ZD|SGT|
SgtAGF1|U2|销货转托工缴回|MF_ZD|TF_ZD|SGT|
SgtAGG1|U3|托工领/补料转进货|MF_ZD|TF_ZD|SGT|
SgtAGH1|U4|进货退回转托工退料|MF_ZD|TF_ZD|SGT|
SgtAGI1|Z0|销货转入库|MF_ZD|TF_ZD|SGT|
SgtAGI1|O1|销退转进退|MF_ZD|TF_ZD|SGT|
SgtAGI2|O3|销退转进退再转销退|MF_ZD|TF_ZD|SGT|
SgtAGJ1|O2|进退转销退|MF_ZD|TF_ZD|SGT|
SgtAGJ1|Z9|验退转销退|MF_ZD|TF_ZD|SGT|
SgtAGJ2|O4|进退转销退再转进退|MF_ZD|TF_ZD|SGT|
SgtBA|CT|合同手册备案|CNTT_SGT|MF_PL_SGT|SGT|
SgtBBA|IG|进口报关单|MF_RG_SGT|TF_RG_SGT|SGT|
SgtBCA|OG|出口报关单|MF_RG_SGT|TF_RG_SGT|SGT|SA
SgtBDA|GF|深加工结转申请|MF_GF_SGT|TF_GF_SGT|SGT|NULL
SgtBE|SC|余料结转申请|MF_LC_SGT|TF_LC_SGT|SGT|NULL
SgtBF|BG|合同变更|CNTT_CHG_SGT|MF_PL_CHG_SGT|SGT|
SgtFA|LC|L/C开帐单作业|MF_LCO|TF_LCO|SGT|
SgtFD|RL|即期信用状赎单作业|MF_LCR|TF_LCR|SGT|
SgtHB|CL|信用额度修改作业|LC_CLN||SGT|
SgtHD|RD|信用状押汇作业|MF_LCR|TF_LCR|SGT|
SvsAA|S2|修理单录入|MF_INP|TF_INP|MTN|
SvsBA|S1|领/退料单|MF_MAT|TF_MAT|MTN|
SvsEA|S3|派工单|MF_PG|TF_PG|SGT|
TRDAH|LD|信用状收状作业|MF_LCO|TF_LCO|SGT|
TRDBC|AE|销售确认单(S/C)|MF_AESC|TF_AESC|SGT|
TRDBC|ZA|销售确认单|MF_ZA|TF_ZA|SGT|
TRDCD|RE|遠期信用狀贖單作業|MF_LCR|TF_LCR|SGT|
TaxAA|DK|独立开立发票作业|INV_NO|INV_NO1|TAX|NULL
TaxBA|ZE|销项凭证输入|MF_SALE|MF_SALE|TAX|
TaxCA|ZC|进项凭证输入|MF_METH|MF_METH|TAX|
TaxDD|ZD|零税率清单输入|MF_ZERO|TF_ZERO|TAX|
UP_DEF|11|一般售价政策|UP_DEF|||SA
UP_DEFA|12|一般采购政策|UP_DEF|||PC
Up_DefB|13|一般托工定价政策|UP_DEF|||MO
Up_DefC|20|分摊开模费的采购政策|UP_DEF_MOD||OTH|PC
WAGDR|TL|退休金提拨单|MF_TX|TF_TX|WAG|NULL
WagAK|AK|计件工资单价表|MF_JJ|TF_JJ|WAG|
WagAKN|OA|计件工资单价表(专案)|MF_JJN|TF_JJN|OTH|
WagAT|BV|保險調整計算作業|MF_JB_CALC|TF_JB_CALC|WAG|
WagBA|WA|人事基本资料|MF_YG||WAG|
WagBBB|WP|制程数量输入|MF_WPQTY|TF_WPQTY|WAG|MO
WagBC|TS|人员调薪作业|MF_TS|TF_TS1|WAG|
WagBJ|DL|员工内部调动输入|MF_YGDL|TF_YGDL|WAG|
WagBMB|VB|请假登录单|MF_VC||WAG|
WagBOA|CA|辞/离职申请单|MF_CZSQ|TF_CZSQ|WAG|
WagCB|W1|薪资调整异动登录|TF_SZTZ||WAG|
WagCCD|WQ|订单数量核发|MF_WQ|TF_WQ|WAG|
WagCEC|FS|薪资发放作业|MF_FS||WAG|
WagCED|FQ|所得税合并计算|MF_FQ|TF_FQ|WAG|
WagCEE|JX|雇主補充保費計算|MF_JX|TF_JX||
WagCEF|JY|受雇者補充保費計算|MF_JY|TF_JY||
WagCFA|FJ|各类奖金发放作业|MF_FJ|TF_FJ|WAG|
WagCR|JZ|员工借支单|MF_YGJZ|TF_YGJZ|WAG|
WagDB|SV|薪资切制凭证作业|MF_SV|TF_SV|WAG|NULL
WagDPA|FO|股利资料|MF_SHARE1|TF_SHARE1|WAG|
WagDV|TG|退休提拨切制凭证作业|MF_TG|TF_TG|WAG|
WagFI|SJ|业务员奖金核发作业|MF_SJ|TF_SJ|WAG|
WagFR|FR|183扣缴凭单|MF_CGB|TF_CGB1|WAG|
WagPJ|WJ|批次请假单|MF_PJ|TF_PJ|WAG|
WagTYAA|OE|成品制程生产|ZCSC_MF||OTH|
WagTyAB|OF|制程计件工资核发|ZCJJHF_MF||OTH|
